line_id,document_ids,tier,score,confidence,auto_post,amount_diff_paise,evidence,n_docs
BL-000453,AR-INV-2026-000124,t7_fuzzy,0.861,0.689,no,-180000,fuzzy_assignment_name(0.86),1
BL-001694,AP-RENT-202609-0,t7_fuzzy,0.816,0.689,no,-983900,fuzzy_assignment_name(0.82),1
BL-000814,AP-RT-2026-000513,t7_fuzzy,0.903,0.691,no,-1458600,fuzzy_assignment_name(0.90),1
BL-001346,AR-INV-2026-001242,t7_fuzzy,0.897,0.691,no,-301000,fuzzy_assignment_name(0.90),1
BL-000869,AR-INV-2026-001140,t7_fuzzy,0.81,0.691,no,-21500,fuzzy_assignment_name(0.81),1
BL-001399,AR-INV-2026-001896,t7_fuzzy,0.934,0.692,no,-877200,fuzzy_assignment_name(0.93),1
BL-000915,AR-INV-2026-000784,t7_fuzzy,0.884,0.692,no,-515900,fuzzy_assignment_name(0.88),1
BL-001328,AR-INV-2026-001333,t7_fuzzy,0.881,0.692,no,-522100,fuzzy_assignment_name(0.88),1
BL-000231,AR-INV-2026-000423,t7_fuzzy,0.834,0.692,no,-399700,fuzzy_assignment_name(0.83),1
BL-001564,AR-INV-2026-001200;AR-INV-2026-001231;AR-INV-2026-001258,t2_advice_utr,1.0,0.693,no,116035200,advice_utr=900000081147 +residual_alloc(2 docs),3
BL-000643,AR-INV-2026-000494,t7_fuzzy,0.898,0.693,no,-333100,fuzzy_assignment_name(0.90),1
BL-001089,AP-VB-2026-001271,t7_fuzzy,0.911,0.694,no,-518400,fuzzy_assignment_name(0.91),1
BL-001343,AP-RT-2026-001439,t7_fuzzy,0.908,0.694,no,-111300,fuzzy_assignment_name(0.91),1
BL-001521,AP-VB-2026-001450,t7_fuzzy,0.995,0.698,no,-487900,fuzzy_assignment_name(1.00),1
BL-001574,AR-INV-2026-001537;AR-INV-2026-001490;AR-INV-2026-001552,t2_advice_utr,1.0,0.708,no,23315500,advice_utr=900000081335 +residual_alloc(2 docs),3
BL-001230,AR-INV-2026-001033;AR-INV-2026-000971;AR-INV-2026-001053,t2_advice_utr,1.0,0.724,no,172046100,advice_utr=900000080912 +residual_alloc(2 docs),3
BL-001260,AR-INV-2026-000678;AR-INV-2026-000649;AR-INV-2026-000844,t2_advice_utr,1.0,0.737,no,45308500,advice_utr=900000080741 +residual_alloc(2 docs),3
BL-000544,AR-INV-2026-000514;AR-INV-2026-000627;AR-INV-2026-000701,t6_lumpsum,0.99,0.74,no,0,"subset_sum(3 docs of 4 candidates, shared tokens ['GOLDCREST', 'WAREHOUSING'])",3
BL-000560,AR-INV-2026-000289;AR-INV-2026-000391;AR-INV-2026-000549,t6_lumpsum,0.99,0.741,no,0,"subset_sum(3 docs of 6 candidates, shared tokens ['CATERING', 'SERVICES', 'SURYAVANSH'])",3
BL-000728,AR-INV-2026-000628;AR-INV-2026-000646;AR-INV-2026-000756,t6_lumpsum,0.99,0.743,no,0,"subset_sum(3 docs of 4 candidates, shared tokens ['ASHWINI', 'CABLE', 'SYSTEMS'])",3
BL-001563,AR-INV-2026-001383;AR-INV-2026-001405;AR-INV-2026-001482,t6_lumpsum,0.99,0.743,no,0,"subset_sum(3 docs of 9 candidates, shared tokens ['PRINT', 'SOLUTIONS', 'SURYAVANSH'])",3
BL-001306,AR-INV-2026-001526;AR-INV-2026-001441;AR-INV-2026-001542,t2_advice_utr,1.0,0.747,no,184477800,advice_utr=900000081263 +residual_alloc(2 docs),3
BL-001595,AR-INV-2026-001049;AR-INV-2026-001219;AR-INV-2026-001259,t6_lumpsum,0.99,0.747,no,0,"subset_sum(3 docs of 12 candidates, shared tokens ['ASHWINI', 'EPC', 'SOLAR'])",3
BL-000515,AR-INV-2026-000644;AR-INV-2026-000562;AR-INV-2026-000719,t2_advice_utr,1.0,0.751,no,133164700,advice_utr=900000080712 +residual_alloc(2 docs),3
BL-000340,AR-INV-2026-000231;AR-INV-2026-000250;AR-INV-2026-000348,t2_advice_utr,1.0,0.759,no,34952100,advice_utr=900000080452 +residual_alloc(2 docs),3
BL-001259,AR-INV-2026-001107,t2_advice_utr,1.0,0.787,no,28317600,advice_utr=900000081129,1
